"","Country.of.Origin","Farm.Name","Lot.Number","Mill","ICO.Number","Company","Altitude","Region","Producer","Number.of.Bags","Bag.Weight","In.Country.Partner","Harvest.Year","Grading.Date","Owner","Variety","Status","Processing.Method","Aroma","Flavor","Aftertaste","Acidity","Body","Balance","Uniformity","Clean.Cup","Sweetness","Overall","Defects","Total.Cup.Points","Moisture","Category.One.Defects","Quakers","Color","Category.Two.Defects","Expiration","Certification.Body","Certification.Address","Certification.Contact","sample_number","unit_of_measurement","altitude_low_meters","altitude_high_meters","altitude_mean_meters"
"1","Taiwan","嵩岳咖啡莊園","202004","嵩岳咖啡莊園","","tcl 台灣咖啡研究室","1200","雲林-石壁","郭亮志",3,"60 kg","NKG Quality Service (a division of Bernhard Rothfos Intercafé AG)","2020","September 1st, 2020","郭亮志 guoliangzhi","Gesha","Completed","Natural / Dry",8.58,8.67,8.17,8.25,8.5,8.58,10,10,10,8.5,0,89.25,0.11,0,0,"None",0,"September 1st, 2021","NKG Quality Service (a division of Bernhard Rothfos Intercafé AG)","4ef366106e3e0154910b04e7f00eabb68b1e1842","313a15ddc00be422961ea35b77a07e6755f8b591",797340,"m",1200,1200,1200
"2","Kenya","","1542247","tylor winch","037-1673-5107","nestle nespresso sa","1650","","Tylor Winch Volcafe",320,"69 kg","NKG Quality Service (a division of Bernhard Rothfos Intercafé AG)","2019","October 30th, 2020","alexis rodriguez","SL28","Completed","Washed / Wet",8.33,8.5,8.25,8.67,8.42,8.42,10,10,10,8.58,0,89.17,0.11,0,0,"Green",1,"October 30th, 2021","NKG Quality Service (a division of Bernhard Rothfos Intercafé AG)","4ef366106e3e0154910b04e7f00eabb68b1e1842","313a15ddc00be422961ea35b77a07e6755f8b591",630917,"m",1650,1650,1650
"3","Ethiopia","honey drip","1","non","","宸嶧國際有限公司","2219","ethiopia","Honey Dip",37,"20 kg","Japan Coffee Exchange","2020","July 14th, 2020","blossom valley international","Ethiopian Heirlooms","Completed","Other",8.25,8.25,7.92,8.42,7.92,8.08,10,10,10,8.33,0,87.17,0.11,0,3,"Green",4,"July 14th, 2021","Japan Coffee Exchange","6581de2d874e7e9a52288f22d67124f70aeb24cc","fbd9ea91e040a94b329c1772906d76f6f2ead381",961547,"m",2219,2219,2219
"4","Colombia","granja el sauce","001 Tostado SW","dry mill/ honey process","","tostado sw limited","1650","santander colombia","Alvaro Edgar Ramirez Jauregui",1,"20 kg","NKG Quality Service (a division of Bernhard Rothfos Intercafé AG)","2019","September 4th, 2020","fernando","Other","Completed","Pulped natural / honey",8.33,8.08,7.75,8.33,8.17,8.17,10,10,10,8.25,0,87.08,0.11,0,0,"None",0,"September 4th, 2021","NKG Quality Service (a division of Bernhard Rothfos Intercafé AG)","4ef366106e3e0154910b04e7f00eabb68b1e1842","313a15ddc00be422961ea35b77a07e6755f8b591",976095,"m",1650,1650,1650
"5","Ethiopia","kata muduga","1","kata muduga farmers","","haia gmbh","15002100","limu","Kata Muduga Farmers Union",100,"60 kg","NKG Quality Service (a division of Bernhard Rothfos Intercafé AG)","2020","September 1st, 2020","dr. marcel lorenz","Other","Completed","Washed / Wet",8,8.33,8.17,8,8,8.17,10,10,10,8.25,0,86.92,0.11,0,0,"Green",0,"September 1st, 2021","NKG Quality Service (a division of Bernhard Rothfos Intercafé AG)","4ef366106e3e0154910b04e7f00eabb68b1e1842","313a15ddc00be422961ea35b77a07e6755f8b591",640499,"m",15002100,15002100,15002100
"6","Ethiopia","non","1","non","E0205","宸嶧國際有限公司","2100","ethiopia sidamo guji uraga adola","non",200,"30 kg","Japan Coffee Exchange","2020","July 14th, 2020","blossom valley international","Other","Completed","Washed / Wet",8.25,8.17,7.92,8.17,7.83,8,10,10,10,8.25,0,86.58,0.12,0,1,"Green",3,"July 14th, 2021","Japan Coffee Exchange","6581de2d874e7e9a52288f22d67124f70aeb24cc","fbd9ea91e040a94b329c1772906d76f6f2ead381",507718,"m",2100,2100,2100
"7","Ethiopia","local farm","14","hulling","010/0240/0002","al-impex business plc","2000","dila","Alemayehue Gume",300,"60 kg","METAD Agricultural Development plc","2019","June 29th, 2020","al-impex business plc","Ethiopian Yirgacheffe","Completed","Washed / Wet",8,8,8,8.08,8,8,10,10,10,8.17,0,86.25,0.1,0,0,"Blue-Green",0,"June 29th, 2021","METAD Agricultural Development plc","0d509c2a0a5cb41878e2f6288871b479b459e84d","9e93b9685ded5cc9e626b56fd148c9bcbb224233",758571,"m",2000,2000,2000
"8","Taiwan","嵩岳咖啡莊園","202002","嵩岳咖啡莊園","","tcl 台灣咖啡研究室","1200","雲林-石壁","郭志豪",4,"50 kg","NKG Quality Service (a division of Bernhard Rothfos Intercafé AG)","2019","September 1st, 2020","jim郭志豪","Gesha","Completed","Natural / Dry",7.83,8.17,7.92,7.83,7.92,8,10,10,10,8.08,0,85.75,0.1,0,0,"None",0,"September 1st, 2021","NKG Quality Service (a division of Bernhard Rothfos Intercafé AG)","4ef366106e3e0154910b04e7f00eabb68b1e1842","313a15ddc00be422961ea35b77a07e6755f8b591",619167,"m",1200,1200,1200
"9","Ethiopia","local farmer","14","hulling","010/0240/0002","al-impex business plc","1994","dila","Alemayehue Mesfin",300,"60 kg","METAD Agricultural Development plc","2019","June 13th, 2020","al-impex business plc","Ethiopian Yirgacheffe","Completed","Washed / Wet",8,8,7.83,8,8,8,10,10,10,7.83,0,85.67,0.1,0,0,"Green",7,"June 13th, 2021","METAD Agricultural Development plc","0d509c2a0a5cb41878e2f6288871b479b459e84d","9e93b9685ded5cc9e626b56fd148c9bcbb224233",529406,"m",1994,1994,1994
"10","Ethiopia","none","1","non","E0062","宸嶧國際有限公司","1800","ethiopia yirgacheffe","none",35,"30 kg","Japan Coffee Exchange","2020","July 14th, 2020","blossom valley international","Ethiopian Heirlooms","Completed","Washed / Wet",8.17,8,7.67,8,7.75,7.83,10,10,10,8,0,85.42,0.11,0,0,"Green",2,"July 14th, 2021","Japan Coffee Exchange","6581de2d874e7e9a52288f22d67124f70aeb24cc","fbd9ea91e040a94b329c1772906d76f6f2ead381",811504,"m",1800,1800,1800
