,quality_score,view_certificate_1,view_certificate_2,,,,,Country of Origin,Farm Name,Lot Number,Mill,ICO Number,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date,Owner,Variety,Status,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Defects,Total Cup Points,Moisture,Category One Defects,Quakers,Color,Category Two Defects,NA,Expiration,Certification Body,Certification Address,Certification Contact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,Embeddable Image,Cupping Protocol and Descriptors,View Green Analysis Details,Request a Sample,Species Arabica,Owner 郭亮志 GuoLiangZhi,Taiwan,嵩岳咖啡莊園,202004,嵩岳咖啡莊園,,TCL 台灣咖啡研究室,1200,雲林-石壁,郭亮志,3,60 kg,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),2020,"September 1st, 2020",郭亮志 GuoLiangZhi,Gesha,Completed,Natural / Dry,8.58,8.67,8.17,8.25,8.5,8.58,10.0,10.0,10.0,8.5,0.0,89.25,11 %,0 full defects,0,None,0 full defects,,"September 1st, 2021",NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),Bahnhofstrasse 22,Gloria Pedroza - +41417287296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,Embeddable Image,Cupping Protocol and Descriptors,,,,,Kenya,,1542247,Tylor Winch,037-1673-5107,Nestle Nespresso SA,1650,,Tylor Winch Volcafe,320,69 kg,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),2019,"October 30th, 2020",Alexis Rodriguez,SL28,Completed,Washed / Wet,8.33,8.5,8.25,8.67,8.42,8.42,10.0,10.0,10.0,8.58,0.0,89.17,11 %,0 full defects,0,Green,1 full defects,,"October 30th, 2021",NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),Bahnhofstrasse 22,Gloria Pedroza - +41417287296,View Green Analysis Details,Request a Sample,Species Arabica,Owner Alexis Rodriguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,Embeddable Image,Cupping Protocol and Descriptors,,,,,Ethiopia,Honey Drip,1,non,,宸嶧國際有限公司,2219,Ethiopia,Honey Dip,37,20 kg,Japan Coffee Exchange,2020,"July 14th, 2020",Blossom Valley International,Ethiopian Heirlooms,Completed,Other,8.25,8.25,7.92,8.42,7.92,8.08,10.0,10.0,10.0,8.33,0.0,87.17,11 %,0 full defects,3,Green,4 full defects,,"July 14th, 2021",Japan Coffee Exchange,"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901,,,,,View Green Analysis Details,Request a Sample,Species Arabica,Owner Blossom Valley International,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,Embeddable Image,Cupping Protocol and Descriptors,,,,,Colombia,Granja el Sauce,001 Tostado SW,Dry Mill/ Honey Process,,Tostado SW Limited,1650,Santander Colombia,Alvaro Edgar Ramirez Jauregui,1,20 kg,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),2019,"September 4th, 2020",Fernando,Other,Completed,Pulped natural / honey,8.33,8.08,7.75,8.33,8.17,8.17,10.0,10.0,10.0,8.25,0.0,87.08,11 %,0 full defects,0,None,0 full defects,,"September 4th, 2021",NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),Bahnhofstrasse 22,Gloria Pedroza - +41417287296,,,,,,,,,View Green Analysis Details,Request a Sample,Species Arabica,Owner Fernando,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,Embeddable Image,Cupping Protocol and Descriptors,,,,,Ethiopia,Kata Muduga,1,Kata Muduga Farmers,,Haia GmbH,15002100,Limu,Kata Muduga Farmers Union,100,60 kg,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),2020,"September 1st, 2020",Dr. Marcel Lorenz,Other,Completed,Washed / Wet,8.0,8.33,8.17,8.0,8.0,8.17,10.0,10.0,10.0,8.25,0.0,86.92,11 %,0 full defects,0,Green,0 full defects,,"September 1st, 2021",NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),Bahnhofstrasse 22,Gloria Pedroza - +41417287296,,,,,,,,,,,,,View Green Analysis Details,Request a Sample,Species Arabica,Owner Dr. Marcel Lorenz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,Embeddable Image,Cupping Protocol and Descriptors,,,,,Ethiopia,non,1,non,E0205,宸嶧國際有限公司,2100,Ethiopia Sidamo Guji Uraga Adola,non,200,30 kg,Japan Coffee Exchange,2020,"July 14th, 2020",Blossom Valley International,Other,Completed,Washed / Wet,8.25,8.17,7.92,8.17,7.83,8.0,10.0,10.0,10.0,8.25,0.0,86.58,12 %,0 full defects,1,Green,3 full defects,,"July 14th, 2021",Japan Coffee Exchange,"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901,,,,,,,,,,,,,,,,,View Green Analysis Details,Request a Sample,Species Arabica,Owner Blossom Valley International,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,Embeddable Image,Cupping Protocol and Descriptors,,,,,Ethiopia,local farm,14,Hulling,010/0240/0002,Al-Impex Business plc,2000,Dila,Alemayehue Gume,300,60 kg,METAD Agricultural Development plc,2019,"June 29th, 2020",Al-impex Business plc,Ethiopian Yirgacheffe,Completed,Washed / Wet,8.0,8.0,8.0,8.08,8.0,8.0,10.0,10.0,10.0,8.17,0.0,86.25,10 %,0 full defects,0,Blue-Green,0 full defects,,"June 29th, 2021",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196",,,,,,,,,,,,,,,,,,,,,View Green Analysis Details,Request a Sample,Species Arabica,Owner Al-impex Business plc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,Embeddable Image,Cupping Protocol and Descriptors,,,,,Taiwan,嵩岳咖啡莊園,202002,嵩岳咖啡莊園,,TCL 台灣咖啡研究室,1200,雲林-石壁,郭志豪,4,50 kg,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),2019,"September 1st, 2020",Jim郭志豪,Gesha,Completed,Natural / Dry,7.83,8.17,7.92,7.83,7.92,8.0,10.0,10.0,10.0,8.08,0.0,85.75,10 %,0 full defects,0,None,0 full defects,,"September 1st, 2021",NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),Bahnhofstrasse 22,Gloria Pedroza - +41417287296,,,,,,,,,,,,,,,,,,,,,,,,,View Green Analysis Details,Request a Sample,Species Arabica,Owner Jim郭志豪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,Embeddable Image,Cupping Protocol and Descriptors,,,,,Ethiopia,Local Farmer,14,Hulling,010/0240/0002,Al-Impex Business plc,1994,Dila,Alemayehue Mesfin,300,60 kg,METAD Agricultural Development plc,2019,"June 13th, 2020",Al-impex Business plc,Ethiopian Yirgacheffe,Completed,Washed / Wet,8.0,8.0,7.83,8.0,8.0,8.0,10.0,10.0,10.0,7.83,0.0,85.67,10 %,0 full defects,0,Green,7 full defects,,"June 13th, 2021",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196",,,,,,,,,,,,,,,,,,,,,,,,,,,,,View Green Analysis Details,Request a Sample,Species Arabica,Owner Al-impex Business plc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,Embeddable Image,Cupping Protocol and Descriptors,,,,,Ethiopia,none,1,non,E0062,宸嶧國際有限公司,1800,Ethiopia Yirgacheffe,none,35,30 kg,Japan Coffee Exchange,2020,"July 14th, 2020",Blossom Valley International,Ethiopian Heirlooms,Completed,Washed / Wet,8.17,8.0,7.67,8.0,7.75,7.83,10.0,10.0,10.0,8.0,0.0,85.42,11 %,0 full defects,0,Green,2 full defects,,"July 14th, 2021",Japan Coffee Exchange,"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,View Green Analysis Details,Request a Sample,Species Arabica,Owner Blossom Valley International,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
